playlist,title,video_id,transcribed
52_weeks,How to set up a reef tank  | 52 Weeks of Reefing,E-aoo7Gl2FQ,False
52_weeks,Week 1: Our Best Reef Tank Build Yet | 52 Weeks of Reefing,fKEXNIhomGs,False
52_weeks,Week 2: Unveiling the tank and custom built stand | 52 Weeks of Reefing,OxZ_hJjXwj8,False
52_weeks,"Week 3: Sumps - What do they do, and which should you select? | 52 Weeks of Reefing",z6foHVHg1Rw,False
52_weeks,Week 4: Planning a Safer Tank with Redundancy | 52 Weeks of Reefing,tppr8V13h5U,False
52_weeks,"Week 5: Plumbing, Overflows, and Return Pumps | 52 Weeks of Reefing",q1tAnhIGpgA,False
52_weeks,"Week 6: Wiring Your Reef Tank, Everything You Forgot to Think About. | 52 Weeks of Reefing",1rER7e7zTxU,False
52_weeks,Week 7: How to Produce the Best Water Possible. | 52 Weeks of Reefing,SMq-vk1mnZw,False
52_weeks,Week 8: Tank Temperature. Finding a Way to Trust Your Heater. | 52 Weeks of Reefing,8vrSO8WLs_M,False
52_weeks,Week 9: Why Flow Is Vital for a Successful Reef Tank. | 52 Weeks of Reefing,K1Oc1LYgVbo,False
52_weeks,Week 10: What You May Not Have Known About Live Rock. | 52 Weeks of Reefing,weuOniZN2Jo,False
52_weeks,Week 11: Simple Ways to Create the Perfect Aquascape. | 52 Weeks of Reefing,S4eTdqBZnlw,False
52_weeks,Week 12: Proof: Live Sand Isn’t as Dull as You Thought! | 52 Weeks of Reefing,6vsm71SSw20,False
52_weeks,"Week 13: Ammonia, Not as Simple as You Think: The Ideal Tank Cycle.| 52 Weeks of Reefing",m5QUjCbYBTM,False
52_weeks,"Week 14: Are UV Sterilizers Worth the Time, Money and Effort? | 52 Weeks of Reefing",-GncTmZqOIU,False
52_weeks,Week 15: Adding Saltwater Fish Intelligently and Safely. | 52 Weeks of Reefing,ZWHSTlJ05ek,False
52_weeks,"Week 16: ATO: Reducing Daily Maintenance, Safely! | 52 Weeks of Reefing",8rVV7GLNees,False
52_weeks,Week 17: Protein Skimmers - Selecting and Tuning the Best! | 52 Weeks of Reefing,myg8rz0Bzzc,False
52_weeks,Week 18: Aquarium Lighting: Replicating the Sun Over the World’s Reefs | 52 Weeks of Reefing,CR0FaKu35q0,False
52_weeks,Week 19: Compelling Data for Using T5 Lighting on Your Reef Tank. | 52 Weeks of Reefing,C61DTnWKGjc,False
52_weeks,Week 20: Metal Halide Lighting and the Reef Tank: A Recipe for Success. | 52 Weeks of Reefing,HKnZq0-0ghY,False
52_weeks,"Week 21: LED Reef Lighting: Tuning PAR, Spread, and Spectrum. | 52 Weeks of Reefing",V7XLgLiA0PM,False
52_weeks,Week 22: Reef Tank Lighting: What’s on Our Tanks? The T5 LED Hybrid! | 52 Weeks of Reefing,GTuj5MJCgpc,False
52_weeks,"Week 23: Clean-up Crew, How Many Do I Need? | 52 Weeks of Reefing",UjXHq6oie6s,False
52_weeks,"Week 24: Carbon, GFO & Filter Media for a Clean, Stable Reef Tank. | 52 Weeks of Reefing",UbLF1zgw8oQ,False
52_weeks,Week 25: Going Beyond Filter Socks: The Theiling Rollermat. | 52 Weeks of Reefing,O0jk2yaT-hc,False
52_weeks,Week 26: How to Leverage Bacteria for a Cleaner Reef Tank. | 52 Weeks of Reefing,KnXHVEJSQsU,False
52_weeks,Week 27: Refugiums - Utilizing Algae for a Thriving Reef Tank. | 52 Weeks of Reefing,S5vONjvJzTQ,False
52_weeks,Week 28: Ozone and Reef Tanks: Crystal Clear Tanks but at a Cost! | 52 Weeks of Reefing,-gKMRHtNCNE,False
52_weeks,Week 29: Calcium & Alkalinity: The Science Behind a Healthy Reef. | 52 Weeks of Reefing,Keu12vKZNXM,False
